"SlNo","Device","partKind","partStart","partDur"
"67","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:26:36.573,219.323000192642
"68","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:30:22.046,184.47200012207
"69","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:33:34.710,172.158999919891
"70","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:36:33.019,188.569000005722
"71","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:39:49.786,209.078000068665
"72","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 11:43:25.009,578.009999990463
"73","acutec_QT250-M301_781d8d","1762-OP10",2014-11-05 12:11:07.321,176.284999847412
"74","acutec_QT250-M301_781d8d","1762",2014-11-05 12:56:02.618,174.210999965668
"75","acutec_QT250-M301_781d8d","1762",2014-11-05 13:20:12.381,172.183000087738
"76","acutec_QT250-M301_781d8d","1762",2014-11-05 14:13:56.470,168.0640001297
"77","acutec_QT250-M301_781d8d","1762",2014-11-05 14:18:12.634,170.118000030518
"78","acutec_QT250-M301_781d8d","1762",2014-11-05 14:21:27.351,200.861999988556
"79","acutec_QT250-M301_781d8d","1762",2014-11-05 14:25:39.450,168.087000131607
"80","acutec_QT250-M301_781d8d","1762",2014-11-05 14:32:15.061,282.842000007629
"81","acutec_QT250-M301_781d8d","1762",2014-11-05 14:37:08.141,172.164000034332
"82","acutec_QT250-M301_781d8d","1762",2014-11-05 14:40:18.763,172.164999961853
"83","acutec_QT250-M301_781d8d","1762",2014-11-05 14:43:37.578,170.115000009537
"84","acutec_QT250-M301_781d8d","1762",2014-11-05 14:56:52.832,168.094000101089
"85","acutec_QT250-M301_781d8d","1762",2014-11-05 14:59:47.069,190.621999979019
"86","acutec_QT250-M301_781d8d","1762",2014-11-05 15:04:29.915,170.115000009537
"87","acutec_QT250-M301_781d8d","1762",2014-11-05 15:07:28.247,168.011000156403
"88","acutec_QT250-M301_781d8d","1762",2014-11-05 15:10:26.523,262.340000152588
"89","acutec_QT250-M301_781d8d","1762",2014-11-05 15:14:57.079,204.930000066757
"90","acutec_QT250-M301_781d8d","1762",2014-11-05 15:22:01.305,176.283999919891
"91","acutec_QT250-M301_781d8d","1762",2014-11-05 15:25:09.878,190.621999979019
"92","acutec_QT250-M301_781d8d","1762",2014-11-05 15:28:32.793,180.37900018692
"93","acutec_QT250-M301_781d8d","1762",2014-11-05 15:32:14.161,174.212000131607
"94","acutec_QT250-M301_781d8d","1762",2014-11-05 15:35:59.658,176.282999992371
"95","acutec_QT250-M301_781d8d","1762",2014-11-05 15:39:06.213,174.210999965668
"96","acutec_QT250-M301_781d8d","1762",2014-11-05 16:01:32.882,176.257000207901
"97","acutec_QT250-M301_781d8d","1762",2014-11-05 16:44:01.081,176.254999876022
"98","acutec_QT250-M301_781d8d","1762",2014-11-05 16:52:17.703,274.651999950409
"99","acutec_QT250-M301_781d8d","1762",2014-11-05 17:44:55.346,230.104000091553
"100","acutec_QT250-M301_781d8d","1762",2014-11-05 17:51:17.726,174.207999944687
"101","acutec_QT250-M301_781d8d","1762",2014-11-05 18:05:55.052,174.207000017166
"102","acutec_QT250-M301_781d8d","1762",2014-11-05 18:11:14.792,176.289000034332
"103","acutec_QT250-M301_781d8d","1762",2014-11-05 18:14:11.082,178.387000083923
"104","acutec_QT250-M301_781d8d","1762",2014-11-05 18:17:09.469,176.256999969482
"105","acutec_QT250-M301_781d8d","1762",2014-11-05 18:20:07.772,176.31200003624
"106","acutec_QT250-M301_781d8d","1762",2014-11-05 18:23:04.084,178.359999895096
"107","acutec_QT250-M301_781d8d","1762",2014-11-05 18:26:02.444,176.262000083923
"108","acutec_QT250-M301_781d8d","1762",2014-11-05 18:29:00.769,174.214999914169
"109","acutec_QT250-M301_781d8d","1762",2014-11-05 18:35:48.618,176.254999876022
"110","acutec_QT250-M301_781d8d","1762",2014-11-05 18:38:44.872,178.394000053406
"111","acutec_QT250-M301_781d8d","1762",2014-11-05 18:41:43.266,176.281000137329
"112","acutec_QT250-M301_781d8d","1762",2014-11-05 18:44:41.595,174.213000059128
"113","acutec_QT250-M301_781d8d","1762",2014-11-05 18:50:09.532,176.280999898911
"114","acutec_QT250-M301_781d8d","1762",2014-11-05 18:53:05.813,178.361000061035
"115","acutec_QT250-M301_781d8d","1762",2014-11-05 18:56:04.174,176.256000041962
"116","acutec_QT250-M301_781d8d","1762",2014-11-05 18:59:00.430,178.359999895096
"117","acutec_QT250-M301_781d8d","1762",2014-11-05 19:01:58.790,176.272000074387
"118","acutec_QT250-M301_781d8d","1762",2014-11-05 19:04:57.095,176.285000085831
"119","acutec_QT250-M301_781d8d","1762",2014-11-05 19:07:53.381,178.391999959946
"120","acutec_QT250-M301_781d8d","1762",2014-11-05 19:10:51.773,176.253000020981
"121","acutec_QT250-M301_781d8d","1762",2014-11-05 19:13:50.101,176.271999835968
"122","acutec_QT250-M301_781d8d","1762",2014-11-05 19:16:46.372,178.430999994278
"123","acutec_QT250-M301_781d8d","1762",2014-11-05 19:19:44.803,176.262000083923
"124","acutec_QT250-M301_781d8d","1762",2014-11-05 19:22:43.111,176.313999891281
"125","acutec_QT250-M301_781d8d","1762",2014-11-05 19:25:39.424,176.376000165939
"126","acutec_QT250-M301_781d8d","1762",2014-11-05 19:28:37.838,174.206000089645
"127","acutec_QT250-M301_781d8d","1762",2014-11-05 19:33:06.403,174.222999811172
"128","acutec_QT250-M301_781d8d","1762",2014-11-05 19:40:22.974,176.256000041962
"129","acutec_QT250-M301_781d8d","1762",2014-11-05 19:43:23.326,176.289000034332
"130","acutec_QT250-M301_781d8d","1762",2014-11-05 19:46:19.615,178.355999946594
"131","acutec_QT250-M301_781d8d","1762",2014-11-05 19:49:17.971,176.286000013351
"132","acutec_QT250-M301_781d8d","1762",2014-11-05 19:52:16.306,176.225000143051
"133","acutec_QT250-M301_781d8d","1762",2014-11-05 19:55:12.532,178.389999866486
"134","acutec_QT250-M301_781d8d","1762",2014-11-05 19:58:10.921,176.233000040054
"135","acutec_QT250-M301_781d8d","1762",2014-11-05 20:01:09.203,174.229000091553
"136","acutec_QT250-M301_781d8d","1762",2014-11-05 20:28:53.529,176.226999998093
"137","acutec_QT250-M301_781d8d","1762",2014-11-05 20:40:51.696,176.284999847412
"138","acutec_QT250-M301_781d8d","1762",2014-11-05 20:43:50.028,176.255999803543
"139","acutec_QT250-M301_781d8d","1762",2014-11-05 20:46:48.332,176.400000095367
"140","acutec_QT250-M301_781d8d","1762",2014-11-05 20:49:44.732,176.481999874115
"141","acutec_QT250-M301_781d8d","1762",2014-11-05 20:52:43.263,176.259999990463
"142","acutec_QT250-M301_781d8d","1762",2014-11-05 20:55:39.523,188.569000005722
"143","acutec_QT250-M301_781d8d","1762",2014-11-05 20:58:48.092,176.285000085831
"144","acutec_QT250-M301_781d8d","1762",2014-11-05 21:01:46.423,176.255999803543
"145","acutec_QT250-M301_781d8d","1762",2014-11-05 21:04:42.678,176.313000202179
"146","acutec_QT250-M301_781d8d","1762",2014-11-05 21:08:50.734,176.324000120163
"147","acutec_QT250-M301_781d8d","1762",2014-11-05 21:11:49.095,176.259999990463
"148","acutec_QT250-M301_781d8d","1762",2014-11-05 21:14:45.355,178.391000032425
"149","acutec_QT250-M301_781d8d","1762",2014-11-05 21:17:43.746,176.311000108719
"150","acutec_QT250-M301_781d8d","1762",2014-11-05 21:20:42.105,176.27999997139
"151","acutec_QT250-M301_781d8d","1762",2014-11-05 21:23:40.434,174.246000051498
"152","acutec_QT250-M301_781d8d","1762",2014-11-05 21:26:36.719,176.254999876022
"153","acutec_QT250-M301_781d8d","1762",2014-11-05 21:29:35.023,176.260999917984
"154","acutec_QT250-M301_781d8d","1762",2014-11-05 21:32:31.283,176.289000034332
"155","acutec_QT250-M301_781d8d","1762",2014-11-05 21:35:29.611,176.283999919891
"156","acutec_QT250-M301_781d8d","1762",2014-11-05 21:40:06.312,176.231999874115
"157","acutec_QT250-M301_781d8d","1762",2014-11-05 21:43:02.543,178.392000198364
"158","acutec_QT250-M301_781d8d","1762",2014-11-05 21:46:00.936,176.31299996376
"159","acutec_QT250-M301_781d8d","1762",2014-11-05 21:48:59.296,176.279000043869
"160","acutec_QT250-M301_781d8d","1762",2014-11-05 21:51:55.575,178.329999923706
"161","acutec_QT250-M301_781d8d","1762",2014-11-05 21:54:53.905,176.262000083923
"162","acutec_QT250-M301_781d8d","1762",2014-11-05 21:57:52.210,176.233000040054
"163","acutec_QT250-M301_781d8d","1762",2014-11-05 22:00:48.444,176.351000070572
"164","acutec_QT250-M301_781d8d","1762",2014-11-05 22:03:46.846,176.237000226974
"165","acutec_QT250-M301_781d8d","1762",2014-11-05 22:06:45.131,176.255000114441
"166","acutec_QT250-M301_781d8d","1762",2014-11-05 22:11:50.512,176.27899980545
"167","acutec_QT250-M301_781d8d","1762",2014-11-05 22:14:48.842,176.283999919891
"168","acutec_QT250-M301_781d8d","1762",2014-11-05 22:17:45.125,176.348999977112
"169","acutec_QT250-M301_781d8d","1762",2014-11-05 22:20:43.513,176.264000177383
"170","acutec_QT250-M301_781d8d","1762",2014-11-05 22:23:39.778,176.343999862671
"171","acutec_QT250-M301_781d8d","1762",2014-11-05 22:26:38.164,176.27999997139
"172","acutec_QT250-M301_781d8d","1762",2014-11-05 22:29:36.490,176.31299996376
"173","acutec_QT250-M301_781d8d","1762",2014-11-05 22:32:32.803,176.261000156403
"174","acutec_QT250-M301_781d8d","1762",2014-11-05 22:35:31.112,176.251000165939
"175","acutec_QT250-M301_781d8d","1762",2014-11-05 22:38:27.364,176.266000032425
"176","acutec_QT250-M301_781d8d","1762",2014-11-05 22:52:25.660,176.322999954224
"177","acutec_QT250-M301_781d8d","1762",2014-11-05 22:55:24.020,176.268000125885
"178","acutec_QT250-M301_781d8d","1762",2014-11-05 22:58:22.331,176.363999843597
"179","acutec_QT250-M301_781d8d","1762",2014-11-05 23:01:18.694,176.319000005722
"180","acutec_QT250-M301_781d8d","1762",2014-11-05 23:04:17.056,176.255000114441
"181","acutec_QT250-M301_781d8d","1762",2014-11-05 23:07:15.361,174.254999876022
"182","acutec_QT250-M301_781d8d","1762",2014-11-05 23:10:11.644,176.255000114441
"183","acutec_QT250-M301_781d8d","1762",2014-11-05 23:13:09.948,176.28400015831
"184","acutec_QT250-M301_781d8d","1762",2014-11-05 23:16:06.233,178.388999938965
"185","acutec_QT250-M301_781d8d","1762",2014-11-05 23:19:04.621,176.259000062943
"186","acutec_QT250-M301_781d8d","1762",2014-11-05 23:22:23.436,176.267999887466
"187","acutec_QT250-M301_781d8d","1762",2014-11-05 23:25:21.744,174.31600022316
"188","acutec_QT250-M301_781d8d","1762",2014-11-05 23:28:34.494,174.214000225067
"189","acutec_QT250-M301_781d8d","1762",2014-11-05 23:32:48.661,178.30999994278
"190","acutec_QT250-M301_781d8d","1762",2014-11-05 23:35:57.216,178.276000022888
"191","acutec_QT250-M301_781d8d","1762",2014-11-05 23:39:03.707,176.259000062943
"192","acutec_QT250-M301_781d8d","1762",2014-11-05 23:42:08.161,196.766000032425
"193","acutec_QT250-M301_781d8d","1762",2014-11-05 23:45:35.190,176.259999990463
"194","acutec_QT250-M301_781d8d","1762",2014-11-05 23:48:43.766,174.205999851227
"195","acutec_QT250-M301_781d8d","1762",2014-11-05 23:52:12.819,176.261000156403
"196","acutec_QT250-M301_781d8d","1762",2014-11-06 02:07:57.996,176.34500002861
"197","acutec_QT250-M301_781d8d","1762",2014-11-06 02:18:35.516,176.316999912262
"198","acutec_QT250-M301_781d8d","1762",2014-11-06 02:21:33.877,176.284999847412
"199","acutec_QT250-M301_781d8d","1762",2014-11-06 02:24:30.161,178.337000131607
"200","acutec_QT250-M301_781d8d","1762",2014-11-06 02:27:28.499,176.279000043869
"201","acutec_QT250-M301_781d8d","1762",2014-11-06 02:30:26.825,176.262000083923
"202","acutec_QT250-M301_781d8d","1762",2014-11-06 02:33:23.088,178.358999967575
"203","acutec_QT250-M301_781d8d","1762",2014-11-06 02:36:21.447,176.27999997139
"204","acutec_QT250-M301_781d8d","1762",2014-11-06 02:39:19.775,176.284999847412
"205","acutec_QT250-M301_781d8d","1762",2014-11-06 02:42:16.059,176.317000150681
"206","acutec_QT250-M301_781d8d","1762",2014-11-06 02:45:14.424,176.282999992371
"207","acutec_QT250-M301_781d8d","1762",2014-11-06 02:48:10.707,178.400000095367
"208","acutec_QT250-M301_781d8d","1762",2014-11-06 02:51:09.107,176.270999908447
"209","acutec_QT250-M301_781d8d","1762",2014-11-06 02:54:07.427,176.260999917984
"210","acutec_QT250-M301_781d8d","1762",2014-11-06 02:57:03.687,176.3140001297
"211","acutec_QT250-M301_781d8d","1762",2014-11-06 03:00:02.049,176.279000043869
"212","acutec_QT250-M301_781d8d","1762",2014-11-06 03:02:58.328,178.332000017166
"213","acutec_QT250-M301_781d8d","1762",2014-11-06 03:05:56.661,176.256000041962
"214","acutec_QT250-M301_781d8d","1762",2014-11-06 03:08:54.964,176.261000156403
"215","acutec_QT250-M301_781d8d","1762",2014-11-06 03:11:51.226,176.376999855042
"216","acutec_QT250-M301_781d8d","1762",2014-11-06 03:14:49.638,176.256000041962
